date,market_state,action_mode,total_value,daily_pnl_pct,new_entries,exits
2026-03-19,BAD,DEFENSIVE,120668.54,0.0,,
2026-03-20,BAD,STAY_OUT,120668.54,0.0,,
2026-03-23,BAD,STAY_OUT,120668.54,0.0,,
2026-03-24,BAD,STAY_OUT,120668.54,0.0,,
2026-03-25,BAD,STAY_OUT,120668.54,0.0,,
2026-03-26,BAD,STAY_OUT,120668.54,0.0,,
2026-03-27,BAD,STAY_OUT,120668.54,0.0,,
2026-03-30,BAD,STAY_OUT,120668.54,0.0,,
2026-03-31,BAD,STAY_OUT,120668.54,0.0,,
2026-04-01,NEUTRAL,LIMITED_AGGRESSIVE,120668.55,0.0,WDC|LRCX|AMAT,
2026-04-02,NEUTRAL,LIMITED_AGGRESSIVE,120668.55,0.0,,
2026-04-06,NEUTRAL,LIMITED_AGGRESSIVE,120668.55,0.0,,
2026-04-07,NEUTRAL,LIMITED_AGGRESSIVE,120668.55,0.0,,
2026-04-08,NEUTRAL,LIMITED_AGGRESSIVE,125405.62,3.9257,WDC|LRCX|AMAT,
2026-04-09,NEUTRAL,LIMITED_AGGRESSIVE,125405.62,0.0,,
2026-04-10,NEUTRAL,LIMITED_AGGRESSIVE,125405.62,0.0,,
2026-04-13,NEUTRAL,LIMITED_AGGRESSIVE,125405.62,-0.0,MU,
2026-04-14,NEUTRAL,LIMITED_AGGRESSIVE,126688.91,1.0233,MU,
2026-04-15,NEUTRAL,LIMITED_AGGRESSIVE,126688.91,0.0,,
2026-04-16,NEUTRAL,LIMITED_AGGRESSIVE,126688.91,0.0,,
2026-04-17,NEUTRAL,LIMITED_AGGRESSIVE,126688.91,0.0,,
